source,target,group
Protesters (Swaziland),Police Forces of Swaziland (1986-),13
Unidentified Communal Militia (Tanzania),Civilians (Tanzania),1
Maasai Ethnic Militia (Tanzania),Police Forces of Tanzania (1964-),2
Police Forces of Tanzania (1964-),Civilians (International),1
Unidentified Armed Group (Tanzania),Police Forces of Tanzania (1964-),1
Unidentified Armed Group (Tanzania),Civilians (Tanzania),1
Unidentified Armed Group (Kenya),Civilians (Tanzania),2
Police Forces of Togo (2005-),Civilians (Togo),6
Police Forces of Togo (2005-),Protesters (Togo),1
Unidentified Armed Group (Togo),Civilians (Ghana),1
Protesters (Togo),Police Forces of Togo (2005-),1
Police Forces of Togo (2005-) Gendarmerie,Civilians (Togo),3
Rioters (Togo),Police Forces of Togo (2005-),2
Rioters (Tunisia),Police Forces of Tunisia (1987-2011),5
Protesters (Tunisia),Police Forces of Tunisia (1987-2011),2
Militia (Pro-Government),Civilians (Tunisia),9
Police Forces of Tunisia (1987-2011),Civilians (Tunisia),4
Police Forces of Tunisia (1987-2011),Protesters (Tunisia),4
Rioters (Tunisia),Military Forces of Tunisia (2014-),1
Rioters (Tunisia),Police Forces of Tunisia (2014-),1
Rioters (Tunisia),Military Forces of Tunisia (2014-) National Guard,2
Unidentified Armed Group (Libya),Military Forces of Tunisia (2014-),1
Unidentified Armed Group (Tunisia),Military Forces of Tunisia (2014-),4
Unidentified Armed Group (Tunisia),Civilians (Tunisia),5
Unidentified Armed Group (Tunisia),Police Forces of Tunisia (2014-),4
Military Forces of Tunisia (2014-),Okba Ibn Nafaa Brigade,14
Unidentified Communal Militia (Tunisia),Unidentified Communal Militia (Tunisia),3
Islamist Militia (Tunisia),Police Forces of Tunisia (2014-),2
Military Forces of Tunisia (2014-),Unidentified Armed Group (Tunisia),1
Protesters (Tunisia),Police Forces of Tunisia (2014-),2
Unidentified Armed Group (Tunisia),Military Forces of Tunisia (2014-) National Guard,9
Okba Ibn Nafaa Brigade,Military Forces of Tunisia (2014-),3
Rioters (Tunisia),Civilians (Tunisia),1
Rioters (Tunisia),Private Security Forces (Tunisia),1
Rioters (Tunisia),Rioters (Tunisia),1
Military Forces of Tunisia (2014-) National Guard,Okba Ibn Nafaa Brigade,9
Police Forces of Tunisia (2014-),Civilians (Tunisia),5
Military Forces of Tunisia (2014-),Protesters (Tunisia),1
Police Forces of Tunisia (2014-),Protesters (Tunisia),1
Military Forces of Tunisia (2014-) National Guard,Soldiers of the Caliphate,8
Military Forces of Tunisia (2014-),Soldiers of the Caliphate,1
Soldiers of the Caliphate,Civilians (Tunisia),2
Government of Tunisia (2014-),Hizb Ettahrir Party,2
Bechni Communal Militia (Tunisia),Jersine Communal Militia (Tunisia),1
Government of Tunisia (2014-),Protesters (Tunisia),10
Awlad Yousef Ethnic Militia (Tunisia),Frachiches Ethnic Militia (Tunisia),2
El Feth Brigade,Military Forces of Tunisia (2014-) National Guard,9
Ouled Mahmoud Clan Militia (Tunisia),Ouled Mbarek Clan Militia (Tunisia),6
Military Forces of Tunisia (2014-),Civilians (Tunisia),3
Protesters (Uganda),Police Forces of Uganda (1986-),5
M23: March 23 Movement,Military Forces of Uganda (1986-),1
Kakwa Ethnic Militia (Uganda),Civilians (Uganda),1
Galanji Clan Militia (Uganda),Civilians (Uganda),1
Vigilante Militia (Uganda),Civilians (Uganda),1
Rioters (Uganda),Police Forces of Uganda (1986-),1
Military Forces of Uganda (1986-),M23: March 23 Movement,2
Unidentified Armed Group (Uganda),Police Forces of Uganda (1986-),4
Basongora Ethnic Militia (Uganda),Bakonzo Ethnic Militia (Uganda),1
Police Forces of Uganda (1986-),Civilians (Uganda),1
Protesters (Uganda),Private Security Forces (Uganda),1
Rioters (Uganda),Civilians (Uganda),2
Unidentified Armed Group (Uganda),Civilians (Uganda),3
Unidentified Communal Militia (Uganda),Civilians (Uganda),1
Buganda Communal Militia (Uganda),Rioters (Uganda),1
Police Forces of Uganda (1986-),Unidentified Armed Group (Uganda),2
Rioters (Kenya),Police Forces of Uganda (1986-),12
Rioters (Uganda),Police Forces of Kenya (2013-),1
Protesters (Uganda),Police Forces of Kenya (2013-),2
Rioters (Uganda),Rioters (Uganda),2
UPND: United Party for National Development,Civilians (Zambia),3
Police Forces of Zambia (2011-),Civilians (Zambia),1
Rioters (Zambia),Police Forces of Zambia (2011-),1
Protesters (Zambia),Police Forces of Zambia (2011-),3
Police Forces of Zambia (2011-),Civilians (International),2
PF: Patriotic Front,Civilians (Zambia),3
Vigilante Militia (Zambia),Civilians (Zambia),1
ZANU-PF: Zimbabwe African National Union-Patriotic Front,Civilians (Zimbabwe),1
Police Forces of Zimbabwe (1987-),Civilians (Zimbabwe),1
Shona Ethnic Militia (Zimbabwe),Civilians (Zimbabwe),2
Rioters (Zimbabwe),Police Forces of Zimbabwe (1987-),2
Unidentified Armed Group (Zimbabwe),Civilians (Zimbabwe),2
Rioters (Zimbabwe),ZANU-PF: Zimbabwe African National Union-Patriotic Front,4
Rioters (Zimbabwe),Rioters (Zimbabwe),13
Protesters (Zimbabwe),Police Forces of Zimbabwe (1987-),5
Military Forces of Zimbabwe (1987-),Civilians (Zimbabwe),5
Military Forces of Zimbabwe (1987-),Militia (Miners),6
Rioters (Zimbabwe),Civilians (Zimbabwe),3
Private Security Forces (Zimbabwe),Unidentified Communal Militia (Zimbabwe),14
Vigilante Militia (Zimbabwe),Civilians (Zimbabwe),6
MDC-T: Movement for Democratic Change (Tsvangirai Faction),Civilians (Zimbabwe),13
ZANU-PF: Zimbabwe African National Union-Patriotic Front,Street Traders (Zimbabwe),20
Police Forces of Zimbabwe (1987-),Protesters (Zimbabwe),3
Unidentified Armed Group (Zimbabwe),MDC-T: Movement for Democratic Change (Tsvangirai Faction),17
Rioters (Zimbabwe),Private Security Forces (Zimbabwe),1
AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of Algeria (1999-),10
Military Forces of Algeria (1999-) Gendarmerie,Civilians (Algeria),9
Military Forces of Algeria (1999-),AQIM: Al Qaeda in the Islamic Maghreb,1
Rioters (Algeria),Civilians (International),8
Military Forces of Algeria (1999-),Okba Ibn Nafaa Brigade,6
Private Security Forces (Algeria),Civilians (Algeria),7
Unidentified Armed Group (Algeria),Civilians (International),6
Police Forces of Algeria (1999-),Protesters (Algeria),32
Military Forces of Algeria (1999-),Unidentified Armed Group (Libya),1
Protesters (Algeria),Military Forces of Algeria (1999-) Gendarmerie,4
Vigilante Militia (Algeria),Civilians (Algeria),3
Ouled Embarek Clan Militia (Algeria),Ouled Embarek Clan Militia (Algeria),5
Military Forces of Angola (1975-),FLEC: Front for the Liberation of the Enclave of Cabinda,2
Police Forces of Angola (1975-) Criminal Investigations Service,Civilians (Angola),4
Police Forces of Angola (1975-),Unidentified Armed Group (Angola),2
Cubal Communal Militia (Angola),UNITA: National Union for the Total Independence of Angola,2
Vigilante Militia (Angola),Civilians (Angola),1
Military Forces of Angola (1975-),Civilians (Angola),6
Protesters (Angola),Military Forces of Angola (1975-),2
Police Forces of Angola (1975-),Christian Militia (Angola),1
Unidentified Armed Group (Angola),UNITA: National Union for the Total Independence of Angola,10
Unidentified Armed Group (Angola),Civilians (Angola),1
Military Forces of Benin (2006-),Military Forces of Benin (2006-),3
Fulani Ethnic Militia (Benin),Koka Communal Militia (Benin),1
Fulani Ethnic Militia (Benin),Soumbe Gorou Communal Militia (Benin),1
Rioters (Benin),Police Forces of Benin (2006-),1
Unidentified Armed Group (Benin),Civilians (Benin),1
Pirates (Benin),Civilians (Russia),3
Protesters (Botswana),Police Forces of Botswana (2008-),1
Al Mourabitoune Battalion,Civilians (Australia),1
Al Mourabitoune Battalion,Military Forces of Burkina Faso (2014-),1
Al Mourabitoune Battalion,Civilians (Burkina Faso),1
Unidentified Armed Group (Burkina Faso),Police Forces of Burkina Faso (2014-),1
Mutiny of Military Forces of Burkina Faso (2014-),Private Security Forces (Burkina Faso),1
Police Forces of Burkina Faso (2014-),Civilians (Burkina Faso),1
Military Forces of Burkina Faso (2014-),Mutiny of Military Forces of Burkina Faso (2014-),1
Peul Ethnic Militia (Burkina Faso),Mossi Ethnic Militia (Burkina Faso),1
Vigilante Militia (Burkina Faso),Police Forces of Burkina Faso (2014-),2
Unidentified Communal Militia (Burkina Faso),Unidentified Communal Militia (Burkina Faso),1
Vigilante Militia (Burkina Faso),Police Forces of Burkina Faso (2014-) Gendarmerie,2
Rioters (Burkina Faso),Military Forces of Burkina Faso (2014-),2
Rioters (Burkina Faso),Police Forces of Burkina Faso (2014-),5
Islamist Militia (Mali),Police Forces of Burkina Faso (2014-),1
Protesters (Burkina Faso),Police Forces of Burkina Faso (2014-),2
Unidentified Communal Militia (Burkina Faso),Vigilante Militia (Burkina Faso),8
Protesters (Burkina Faso),Police Forces of Burkina Faso (2014-) Gendarmerie,1
Islamic State (Sahara),Military Forces of Burkina Faso (2014-),4
Former Military Forces of Burkina Faso (1987-2014),Police Forces of Burkina Faso (2014-) Gendarmerie,2
Former Military Forces of Burkina Faso (1987-2014),Police Forces of Burkina Faso (2014-),1
Unidentified Armed Group (Mali),Kolgweogo Self-Defence Militia ,2
Unidentified Armed Group (Mali),Civilians (Cameroon),1
Islamist Militia (Burkina Faso),Police Forces of Burkina Faso (2014-),1
Unidentified Armed Group (Burkina Faso),Vigilante Militia (Burkina Faso),5
Police Forces of Burkina Faso (2014-) Gendarmerie,Civilians (Burkina Faso),1
Civilians (Burundi),Police Forces of Burundi (2005-),13
Military Forces of Burundi (2005-),Mutiny of Military Forces of Burundi (2005-),14
RED-TABARA: Resistance to the Rule of Law in Burundi,Police Forces of Burundi (2005-),9
FOREBU: Republican Forces of Burundi,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),6
RED-TABARA: Resistance to the Rule of Law in Burundi,Civilians (Burundi),2
Government of Burundi (2005-),Prisoners (Burundi),41
Mutiny of Military Forces of Burundi (2005-),Military Forces of Burundi (2005-),2
Government of Burundi (2005-),Judiciary (Burundi),1
Civilians (Rwanda),Government of Burundi (2005-),6
Police Forces of Burundi (2005-),Military Forces of Burundi (2005-),30
Unidentified Armed Group (Burundi),Private Security Forces (Burundi),12
Police Forces of Burundi (2005-),Protesters (Burundi),8
Private Security Forces (Burundi),Civilians (Burundi),17
Government of Burundi (2005-),UN: United Nations,14
Military Forces of Burundi (2005-) National Intelligence Agency,Former Military Forces of Burundi (2005-),8
Vigilante Militia (Cameroon),Civilians (Cameroon),37
Military Forces of Cameroon (1982-),Civilians (Cameroon),3
Protesters (Cameroon),Police Forces of Cameroon (1982-),1
Rioters (Cameroon),Prison Guards (Cameroon),1
Military Forces of Cameroon (1982-),Unidentified Armed Group (Central African Republic),2
Rioters (Cameroon),Civilians (Cameroon),1
Rioters (Cameroon),Military Forces of Cameroon (1982-) Gendarmerie,6
Unidentified Armed Group (Cameroon),Vigilante Militia (Cameroon),4
Unidentified Armed Group (Central African Republic),Civilians (Cameroon),1
Police Forces of Cameroon (1982-),Civilians (Cameroon),2
Unidentified Armed Group (Central African Republic),Military Forces of Cameroon (1982-),15
Unidentified Armed Group (Cameroon),Military Forces of Cameroon (1982-) Gendarmerie,7
Unidentified Armed Group (Cameroon),Police Forces of Cameroon (1982-),7
Rioters (Cameroon),Military Forces of Cameroon (1982-),2
"Military Forces of Cameroon (1982-) Rapid Intervention Battalion
",Unidentified Armed Group (Cameroon),17
Bafou Communal Militia (Cameroon),Unidentified Armed Group (Cameroon),7
Sangaris: French Mission in Central African Republic in Support of MISCA (2013-),Civilians (Central African Republic),26
MISCA: African-led International Support Mission to the Central African Republic (2013-2014),Civilians (Central African Republic),1
Séléka Militia,LRA: Lord's Resistance Army,2
Police Forces of Central African Republic (2013-) Central Office for the Repression of Banditry,Civilians (Central African Republic),1
Tali Ethnic Militia (Central African Republic),Civilians (Central African Republic),13
RJ: Revolution and Justice,Civilians (Central African Republic),3
LRA: Lord's Resistance Army,Civilians (Central African Republic),1
Mbarara Ethnic Militia (Central African Republic),Civilians (Central African Republic),16
Séléka Militia,Civilians (Central African Republic),2
KM5 Communal Militia (Central African Republic),Civilians (Central African Republic),1
Rioters (Central African Republic),Military Forces of Central African Republic (2013-),1
Rioters (Central African Republic),Rioters (Central African Republic),12
Police Forces of Central African Republic (2013-),Anti-Balaka,1
LRA: Lord's Resistance Army,Séléka Militia,5
Police Forces of Central African Republic (2013-) Research and Investigation Division,Civilians (Central African Republic),6
Séléka Militia,Police Forces of Central African Republic (2013-) Gendarmerie,2
MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),Séléka Militia,2
Séléka Militia,Batangafo Communal Militia (Central African Republic),4
Séléka Militia,Séléka Militia,3
Séléka Militia,Kaga-Bandoro Communal Militia (Central African Republic),3
LRA: Lord's Resistance Army,Agoumar Communal Militia (Central African Republic),2
Agoumar Communal Militia (Central African Republic),MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),2
Anti-Balaka,Police Forces of Central African Republic (2013-),1
Bocaranga Communal Militia (Central African Republic),Koui Communal Militia (Central African Republic),4
Anti-Balaka,Fulani Ethnic Militia (Central African Republic),8
Kaga-Bandoro Farmer Militia (Central African Republic),Kaga-Bandoro Herder Militia (Central African Republic),11
Police Forces of Central African Republic (2013-) Gendarmerie,Civilians (Central African Republic),4
Séléka Militia,MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),3
Rioters (Central African Republic),Military Forces of Uganda (1986-),1
Bang Communal Militia (Central African Republic),Séléka Militia,1
Christian Militia (Central African Republic),Muslim Militia (Central African Republic),2
Ngaoundaye Herder Militia (Central African Republic),Ngaoundaye Farmer Militia (Central African Republic),2
Anti-Balaka,Military Forces of Central African Republic (2013-) Gendarmerie,4
LRA: Lord's Resistance Army,Madonguere Communal Militia (Central African Republic),3
Séléka Militia,Fulani Ethnic Militia (Central African Republic),2
Pk5 Communal Militia (Central African Republic),Police Forces of Central African Republic (2013-),1
RPRC: Patriotic Movement for the Rebirth of the Central African People,UPC: Union for Peace in the Central African Republic,1
MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),Pk5 Communal Militia (Central African Republic),3
Unidentified Armed Group (Central African Republic),Fulani Ethnic Militia (Central African Republic),2
Séléka Militia (PRGF Faction),UPC: Union for Peace in the Central African Republic,6
UPC: Union for Peace in the Central African Republic,Mutiny of UPC: Union for Peace in the Central African Republic,2
LRA: Lord's Resistance Army,Kpata Communal Militia (Central African Republic),3
Séléka Militia (PRGF Faction),Police Forces of Central African Republic (2013-),3
MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),Séléka Militia (PRGF Faction),1
Séléka Militia,Dekoa Communal Militia (Central African Republic),1
Unidentified Armed Group (Central African Republic),MISCA: African-led International Support Mission to the Central African Republic (2013-2014),2
Police Forces of Central African Republic (2013-) Gendarmerie,Military Forces of Central African Republic (2013-) Presidential Guard,2
Séléka Militia,Anti-Balaka,4
Unidentified Armed Group (Central African Republic),Anti-Balaka,3
Protesters (Central African Republic),Police Forces of Central African Republic (2013-),5
Protesters (Central African Republic),MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),5
Militia (Abdul Danda),Civilians (Central African Republic),5
Militia (Abdul Danda),Military Forces of Central African Republic (2013-),1
Pk5 Communal Militia (Central African Republic),Rioters (Central African Republic),1
Anti-Balaka,"RRR: Return, Reclamation and Rehabilitation",13
Anti-Balaka,Séléka Militia,1
Militia (Mohamed Ali Fadoul),Militia (Issa Kapi),3
Séléka Militia,FPRC: Popular Front for the Renaissance of Central Africa,2
Unidentified Armed Group (Central African Republic),Civilians (Denmark),1
Police Forces of Central African Republic (2013-),Civilians (Central African Republic),1
Séléka Militia,Gouze Communal Militia (Central African Republic),2
UPC: Union for Peace in the Central African Republic,Séléka Militia (PRGF Faction),7
Goula Ethnic Militia (Central African Republic),Fulani Ethnic Militia (Central African Republic),1
Anti-Balaka,Anti-Balaka,5
Boko Haram - Wilayat Gharb Ifriqiyyah,Vigilante Militia (Chad),1
Boko Haram - Wilayat Gharb Ifriqiyyah,Civilians (Chad),1
Protesters (Chad),Military Forces of Chad (1990-),8
Government of Chad (1990-),Military Forces of Chad (1990-),8
Police Forces of Chad (1990-),Civilians (International),2
Prisoners (Chad),Police Forces of Chad (1990-),3
Islamic State (Sahara),Police Forces of Chad (1990-),7
LRA: Lord's Resistance Army,Civilians (Democratic Republic of Congo),1
Unidentified Armed Group (Democratic Republic of Congo),Civilians (China),4
FNL: National Forces of Liberation,Civilians (Democratic Republic of Congo),1
Nande Ethnic Militia (Democratic Republic of Congo),Hutu Ethnic Militia (Democratic Republic of Congo),1
Mayi Mayi Militia (Union of Patriots for the Defense of the Innocents),FDLR: Democratic Forces for the Liberation of Rwanda,5
Mayi Mayi Militia (Raia Mutomboki),Military Forces of Democratic Republic of Congo (2001-),1
Military Forces of Democratic Republic of Congo (2001-),FDLR: Democratic Forces for the Liberation of Rwanda,1
Military Forces of Democratic Republic of Congo (2001-),ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,4
ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),1
Bongwele Communal Militia (Democratic Republic of Congo),Unidentified Communal Militia (Democratic Republic of Congo),2
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Bede),8
MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),LRA: Lord's Resistance Army,4
MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,2
MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),Mayi Mayi Militia (Raia Mutomboki),2
Biakatu Communal Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),2
LRA: Lord's Resistance Army,Police Guards of Virunga National Park,3
Military Forces of Democratic Republic of Congo (2001-) National Intelligence Agency,G7 Opposition Coalition,3
FDLR-RUD: Democratic Forces for the Liberation of Rwanda-Rally for Unity and Democracy,Civilians (Democratic Republic of Congo),4
MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),Military Forces of Democratic Republic of Congo (2001-),2
FDLR: Democratic Forces for the Liberation of Rwanda,Military Forces of Democratic Republic of Congo (2001-),3
Mayi Mayi Militia (Raia Mutomboki-Kabazimiya),Civilians (Democratic Republic of Congo),1
MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),Mayi Mayi Militia (Nyatura),6
MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),Unidentified Armed Group (Democratic Republic of Congo),1
Vigilante Militia (Democratic Republic of Congo),Unidentified Armed Group (Democratic Republic of Congo),5
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Raia Mutomboki),5
NDC-R: Nduma Defence of Congo (Renewal),FDLR: Democratic Forces for the Liberation of Rwanda,3
FDLR-RUD: Democratic Forces for the Liberation of Rwanda-Rally for Unity and Democracy,Mayi Mayi Militia,2
Military Forces of Democratic Republic of Congo (2001-) National Intelligence Agency,Civilians (Democratic Republic of Congo),6
Protesters (Democratic Republic of Congo),Military Forces of Democratic Republic of Congo (2001-) National Intelligence Agency,2
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Raia Mutomboki-Kizamoto),4
Rioters (Democratic Republic of Congo),Military Forces of Democratic Republic of Congo (2001-),4
Police Forces of Democratic Republic of Congo (2001-),ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,1
Police Forces of Democratic Republic of Congo (2001-),Bobandu Communal Militia (Democratic Republic of Congo),1
Police Forces of Democratic Republic of Congo (2001-),Drakpa Communal Militia (Democratic Republic of Congo),1
Mayi Mayi Militia (Nyatura),Police Forces of Democratic Republic of Congo (2001-),4
Nyanzale Communal Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),1
Nyanzale Communal Militia (Democratic Republic of Congo),Vigilante Militia (Refugees/IDPs),6
FDLR-FOCA: Democratic Forces for the Liberation of Rwanda- Forces fighting Abacunguzi,Civilians (Democratic Republic of Congo),6
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Gumino),7
Police Forces of Democratic Republic of Congo (2001-),Rioters (Democratic Republic of Congo),1
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Cmdt La Fontaine),2
Military Forces of Democratic Republic of Congo (2001-) Republican Guard,Civilians (Democratic Republic of Congo),2
Military Forces of Democratic Republic of Congo (2001-),Bafuliru Communal Militia (Democratic Republic of Congo),2
Balala Rondo,Civilians (International),8
MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),Civilians (Democratic Republic of Congo),5
Bulana Communal Militia (Democratic Republic of Congo),Waza Communal Militia (Democratic Republic of Congo),14
FRPI: Front for Patriotic Resistance of Ituri,Unidentified Armed Group (Democratic Republic of Congo),4
MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),APCLS: Alliance of Patriots for a Free and Sovereign Congo,9
ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,Military Forces of Democratic Republic of Congo (2001-),2
Military Forces of Democratic Republic of Congo (2001-),Unidentified Armed Group (South Sudan),3
Military Forces of Democratic Republic of Congo (2001-),LRA: Lord's Resistance Army,2
Mbororo Ethnic Militia (Democratic Republic of Congo),Military Forces of Democratic Republic of Congo (2001-),6
Police Guards of Garamba National Park,LRA: Lord's Resistance Army,6
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Raia Mutomboki-Mabala),1
Unidentified Armed Group (Democratic Republic of Congo),Police Guards of Kahuzi-Biega National Park,1
Police Guards of Kahuzi-Biega National Park,Unidentified Armed Group (Democratic Republic of Congo),5
Mayi Mayi Militia (Raia Mutomboki-Kizamoto),Mayi Mayi Militia (Raia Mutomboki-Kabazimiya),1
Mayi Mayi Militia (Raia Mutomboki-Mabala),Civilians (Democratic Republic of Congo),2
Military Forces of Democratic Republic of Congo (2001-),Nyamilima Communal Militia (Democratic Republic of Congo),3
Protesters (Democratic Republic of Congo),Military Forces of Democratic Republic of Congo (2001-),1
Unidentified Armed Group (Democratic Republic of Congo),Protesters (Democratic Republic of Congo),1
Mayi Mayi Militia (PARECO),Civilians (Democratic Republic of Congo),8
FRPI: Front for Patriotic Resistance of Ituri,Civilians (International),5
FRPI: Front for Patriotic Resistance of Ituri,Kawangu Communal Militia (Democratic Republic of Congo),2
Nombe Ovungu Communal Militia (Democratic Republic of Congo),Nombe Ovungu Communal Militia (Democratic Republic of Congo),12
Rioters (Democratic Republic of Congo),Rioters (Democratic Republic of Congo),10
Mayi Mayi Militia (Raia Mutomboki-Kizamoto),Civilians (Democratic Republic of Congo),2
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Mahoro),4
Military Forces of Democratic Republic of Congo (2001-),FDLR-FOCA: Democratic Forces for the Liberation of Rwanda- Forces fighting Abacunguzi,5
Unidentified Armed Group (Democratic Republic of Congo),Military Forces of Democratic Republic of Congo (2001-) National Intelligence Agency,10
LRA: Lord's Resistance Army,Military Forces of Democratic Republic of Congo (2001-),3
Mayi Mayi Militia,Civilians (Uganda),15
Police Forces of Democratic Republic of Congo (2001-),Civilians (USA),15
Rioters (Demoratic Republic of Congo),Police Forces of Democratic Republic of Congo (2001-),4
Police Forces of Uganda (1986-),Military Forces of Republic of Congo (1997-),8
Military Forces of Democratic Republic of Congo (2001-),Nyatura-FDLR Coalition: Nyatura -Democratic Forces for the Liberation of Rwanda,2
Rioters (Democratic Republic of Congo),Civilians (India),2
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Union of Patriots for the Defense of the Innocents),4
Government of Democratic Republic of Congo (2001-),ASP: Alliance for the Health of the People,16
Police Forces of Democratic Republic of Congo (2001-),Military Forces of Democratic Republic of Congo (2001-),8
Military Forces of Democratic Republic of Congo (2001-),NDC-C: Nduma Defense of Congo (Cheka),4
Prison Guards (Democratic Republic of Congo),Rioters (Democratic Republic of Congo),4
Mayi Mayi Militia (Nyatura),Military Forces of Democratic Republic of Congo (2001-),8
MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),NDC-R: Nduma Defence of Congo (Renewal),3
Ntambwe Communal Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),1
Ntambwe Communal Militia (Democratic Republic of Congo),Kamalu Communal Militia (Democratic Republic of Congo),1
Police Forces of Democratic Republic of Congo (2001-),Djeshi ya Yesu,1
Government of United States,Police Forces of Democratic Republic of Congo (2001-),3
Police Forces of Democratic Republic of Congo (2001-),NDC-G: Nduma Defence of Congo (Guidon),1
Mayi Mayi Militia (Manu),Mayi Mayi Militia (Sumbadede),3
Military Forces of Democratic Republic of Congo (2001-),Nyatura-APCLS Coalition: Nyatura-Alliance of Patriots for a Free and Sovereign Congo,8
NDC-C: Nduma Defense of Congo (Cheka),NDC-R: Nduma Defence of Congo (Renewal),3
NDC-R: Nduma Defence of Congo (Renewal),Nyatura-FDLR Coalition: Nyatura -Democratic Forces for the Liberation of Rwanda,7
NDC-R: Nduma Defence of Congo (Renewal),Mayi Mayi Militia (Nyatura),20
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (PARECO),1
Bakabeya Communal Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),4
JUNAFEC: Union of Nationalist Federalists of Congo Youth,Civilians (Democratic Republic of Congo),2
Mayi Mayi Militia (Mazembe),Mayi Mayi Militia,1
Unidentified Armed Group (Democratic Republic of Congo),Police Guards of Okapi National Park,2
Mayi Mayi Militia (Nyatura) Kasongo Faction,Mayi Mayi Militia (Nyatura) Benjamin Faction,7
FOREBU: Republican Forces of Burundi,Military Forces of Democratic Republic of Congo (2001-),2
PERCI: Civilian Personnel of the Military,Civilians (Democratic Republic of Congo),2
APCLS: Alliance of Patriots for a Free and Sovereign Congo,Mayi Mayi Militia (Nyatura-Raia Tujigemeye),5
Mayi Mayi Militia (Mazembe),Mayi Mayi Militia (Nyatura),33
Okito Dimba Communal Militia (Democratic Republic of Congo),Lotelama Communal Militia (Democratic Republic of Congo),8
APCLS: Alliance of Patriots for a Free and Sovereign Congo,Police Forces of Democratic Republic of Congo (2001-),27
"Mayi Mayi Militia (Simba)
",Civilians (Democratic Republic of Congo),5
Mayi Mayi Militia (Mazembe),"Military Forces of Democratic Republic of Congo (2001-)
",2
Militia (Elements),Batwa Ethnic Militia (Democratic Republic of Congo),5
Unidentified Armed Group (Democratic Republic of Congo),Civilians (Tanzania),30
Military Forces of Democratic Republic of Congo (2001-),Militia (Oudas),36
Military Forces of Democratic Republic of Congo (2001-),Military Forces of South Sudan (2011-),16
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Body of Christ),2
Militia (Elements),Civilians (Democratic Republic of Congo),7
Batwa Ethnic Militia (Democratic Republic of Congo),Militia (Elements),2
Unidentified Armed Group (Democratic Republic of Congo),Kintobongo Communal Militia (Democratic Republic of Congo),1
Mayi Mayi Militia (Raia Mutomboki-Ndarumanga),Mayi Mayi Militia (Raia Mutomboki-Maheshe),15
Mayi Mayi Militia (Manu),Civilians (Democratic Republic of Congo),4
UPC: Union of Congolese Patriots,Military Forces of Democratic Republic of Congo (2001-),4
Mayi Mayi Militia,Unidentified Armed Group (Democratic Republic of Congo),1
Mayi Mayi Militia (Mwenyemali),Military Forces of Democratic Republic of Congo (2001-),1
Mayi Mayi Militia (Manu),Police Forces of Democratic Republic of Congo (2001-),31
MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),Batwa Ethnic Militia (Democratic Republic of Congo),3
